                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 2.8848,                 3.0705,                 3.1364,                0.42209,                0.16667,                0.11582,                0.04065,                 2.8084,                 3.4932,                  3.057,                0.00026,                0.00026,                0.00026
                     82,                 2.7449,                 2.9283,                 3.1026,                0.42013,                0.16667,                0.10434,                0.03685,                  2.805,                 3.4463,                 3.0536,             0.00024762,             0.00024762,             0.00024762
                     83,                 2.6505,                 2.8424,                 3.0053,                0.41478,                0.11905,                0.09857,                0.03496,                 2.7839,                 3.4497,                 3.0342,             0.00023525,             0.00023525,             0.00023525
                     84,                 2.6472,                 2.8686,                 3.0355,                0.42954,                0.09524,                0.11485,                0.04058,                 2.7864,                  3.485,                 3.0252,             0.00022288,             0.00022288,             0.00022288
                     85,                 2.6508,                  2.864,                 2.9639,                0.42954,                0.09524,                0.11485,                0.04058,                 2.7864,                  3.485,                 3.0252,              0.0002105,              0.0002105,              0.0002105
                     86,                 2.7633,                 2.8451,                 2.9461,                0.11918,                0.16667,                0.13673,                0.05064,                 2.7879,                 3.5126,                 3.0178,             0.00019813,             0.00019813,             0.00019813
                     87,                 2.6243,                 2.9177,                 3.0468,                0.09602,                0.16667,                0.13672,                0.04766,                 2.7616,                 3.5279,                 2.9993,             0.00018575,             0.00018575,             0.00018575
                     88,                 2.5915,                 2.8915,                 3.0444,                 0.1292,                0.18112,                0.14498,                0.05265,                 2.7504,                 3.5128,                 2.9797,             0.00017338,             0.00017338,             0.00017338
                     89,                 2.6335,                 2.7389,                 2.9982,                 0.1292,                0.18112,                0.14498,                0.05265,                 2.7504,                 3.5128,                 2.9797,               0.000161,               0.000161,               0.000161
                     90,                 2.7815,                 2.8332,                 3.0539,                0.14782,                0.16667,                0.14528,                0.05687,                 2.7144,                 3.4841,                 2.9718,             0.00014862,             0.00014862,             0.00014862
                     91,                 2.5925,                 3.3422,                 2.9493,                0.15134,                0.16667,                0.14833,                0.05624,                 2.6854,                 3.4652,                 2.9677,             0.00013625,             0.00013625,             0.00013625
                     92,                 2.5714,                 3.2835,                 2.9463,                0.15201,                0.16667,                0.15166,                0.05979,                 2.6622,                 3.4405,                 2.9566,             0.00012387,             0.00012387,             0.00012387
                     93,                 2.4984,                 3.1107,                 2.7991,                0.15201,                0.16667,                0.15166,                0.05979,                 2.6622,                 3.4405,                 2.9566,              0.0001115,              0.0001115,              0.0001115
                     94,                 2.4999,                 3.1433,                 2.8519,                0.17529,                0.18515,                0.15887,                0.06378,                 2.6367,                 3.4115,                 2.9509,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 2.5577,                 3.1162,                 2.8878,                0.50172,                0.19048,                0.16602,                0.06477,                 2.6192,                 3.3972,                 2.9491,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 2.4917,                 3.1927,                 2.9055,                 0.5224,                0.18743,                0.17782,                0.07183,                 2.6019,                 3.3723,                 2.9367,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 2.4876,                 3.0896,                 2.8511,                 0.5224,                0.18743,                0.17782,                0.07183,                 2.6019,                 3.3723,                 2.9367,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 2.4916,                 3.2419,                 2.8904,                0.49884,                0.21147,                0.17355,                0.07246,                 2.5909,                 3.3566,                 2.9273,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 2.4932,                 3.0894,                 2.7643,                0.46799,                0.14286,                0.16757,                0.07124,                  2.585,                 3.3521,                 2.9215,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 2.5262,                 3.0941,                 2.9301,                0.13874,                 0.2381,                0.17477,                0.07331,                 2.5782,                 3.3617,                 2.9173,             2.4875e-05,             2.4875e-05,             2.4875e-05
