                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6502,                 4.3466,                 4.2978,                0.00374,                 0.2619,                0.00477,                 0.0022,                 3.7488,                 4.3735,                 4.1588,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 3.6143,                 4.3663,                  4.266,                0.00373,                 0.2619,                0.00471,                 0.0021,                 3.7492,                 4.3744,                 4.1588,             6.1881e-05,             6.1881e-05,             6.1881e-05
                      3,                 3.6896,                 4.3027,                  4.258,                0.00397,                0.28571,                0.01028,                 0.0035,                 3.7494,                 4.3744,                 4.1586,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                  3.657,                 4.3285,                 4.2542,                0.00376,                 0.2619,                0.00887,                0.00348,                 3.7494,                 4.3741,                 4.1583,             0.00013342,             0.00013342,             0.00013342
                      5,                 3.5859,                  4.287,                 4.2248,                0.00385,                0.28571,                0.01058,                0.00364,                  3.749,                 4.3738,                 4.1579,             0.00016807,             0.00016807,             0.00016807
                      6,                  3.773,                 4.1772,                  4.196,                0.00383,                0.28571,                0.03177,                0.00949,                 3.7482,                  4.373,                 4.1575,             0.00020198,             0.00020198,             0.00020198
                      7,                 3.6759,                 4.2356,                 4.2047,                0.00382,                0.28571,                0.01765,                0.00527,                 3.7465,                 4.3717,                 4.1569,             0.00023515,             0.00023515,             0.00023515
                      8,                 3.5445,                 4.1657,                 4.1867,                0.00411,                0.30952,                0.03545,                0.00897,                 3.7455,                 4.3708,                 4.1566,             0.00026758,             0.00026758,             0.00026758
                      9,                 3.5426,                 4.1085,                 4.1885,                0.00386,                0.28571,                0.02082,                0.00563,                  3.744,                 4.3689,                 4.1558,             0.00029926,             0.00029926,             0.00029926
                     10,                  3.621,                 4.1172,                 4.2073,                0.00377,                0.28571,                0.02974,                0.00628,                 3.7427,                 4.3675,                  4.155,              0.0003302,              0.0003302,              0.0003302
                     11,                 3.6345,                 4.0777,                  4.158,                0.00375,                0.28571,                0.02436,                0.00592,                 3.7396,                  4.364,                 4.1534,              0.0003604,              0.0003604,              0.0003604
                     12,                 3.6854,                 4.0649,                 4.1423,                0.00409,                0.30952,                0.03048,                0.00644,                 3.7376,                 4.3627,                 4.1525,             0.00038986,             0.00038986,             0.00038986
                     13,                 3.7417,                  4.193,                 4.1624,                0.00407,                0.30952,                0.02608,                0.00607,                 3.7336,                 4.3573,                 4.1505,             0.00041857,             0.00041857,             0.00041857
                     14,                 3.3857,                   3.92,                 4.1244,                0.00374,                0.28571,                0.01599,                0.00494,                 3.7324,                 4.3521,                 4.1495,             0.00044654,             0.00044654,             0.00044654
                     15,                 3.5904,                 4.0315,                  4.152,                 0.0037,                0.28571,                0.03797,                0.01209,                 3.7302,                 4.3397,                 4.1472,             0.00047377,             0.00047377,             0.00047377
                     16,                 3.5629,                  3.863,                 4.0917,                0.00356,                0.28571,                0.10388,                0.03309,                 3.7304,                 4.3327,                 4.1461,             0.00050026,             0.00050026,             0.00050026
                     17,                 3.3897,                  3.958,                    4.1,                 0.0033,                0.28571,                0.09526,                0.02996,                  3.725,                 4.3104,                   4.14,               0.000526,               0.000526,               0.000526
                     18,                 3.5475,                 3.9465,                 4.0764,                0.00352,                0.28571,                0.09357,                0.03041,                 3.7223,                 4.3067,                 4.1379,               0.000551,               0.000551,               0.000551
                     19,                  3.407,                 3.7534,                 4.0289,                0.00351,                0.28571,                0.09757,                0.02887,                 3.7129,                 4.3014,                 4.1317,             0.00057526,             0.00057526,             0.00057526
                     20,                 3.4647,                 3.7897,                 4.0375,                0.00403,                0.30952,                0.01792,                0.00661,                 3.7032,                 4.3081,                 4.1275,             0.00059878,             0.00059878,             0.00059878
                     21,                 3.3977,                 3.7027,                 4.0011,                0.00385,                0.28571,                0.01609,                 0.0047,                 3.6963,                 4.3345,                 4.1305,             0.00062155,             0.00062155,             0.00062155
                     22,                  3.478,                 3.6397,                 3.9675,                0.00377,                0.28571,                0.01641,                0.00479,                 3.6805,                 4.3315,                 4.1218,             0.00064358,             0.00064358,             0.00064358
                     23,                  3.447,                 3.7598,                  3.994,                0.00377,                0.28571,                 0.0128,                0.00408,                 3.6557,                 4.2815,                 4.0863,             0.00066487,             0.00066487,             0.00066487
                     24,                 3.4755,                 3.6341,                 3.9421,                0.00392,                0.30952,                0.02023,                0.00485,                 3.7015,                 4.2034,                 4.0375,             0.00068542,             0.00068542,             0.00068542
                     25,                 3.3937,                 3.7363,                 3.9303,                0.00336,                0.30952,                0.01801,                0.00421,                 3.7086,                 4.1784,                 4.0265,             0.00070522,             0.00070522,             0.00070522
                     26,                 3.4538,                 3.6478,                 3.9075,                0.00329,                0.30952,                0.01118,                0.00325,                 3.7591,                 4.1192,                 4.0078,             0.00072428,             0.00072428,             0.00072428
                     27,                 3.5141,                  3.842,                 3.8891,                0.00333,                0.30952,                0.01478,                0.00356,                 3.7107,                 4.1504,                 4.0145,              0.0007426,              0.0007426,              0.0007426
                     28,                 3.4246,                  3.615,                 3.8344,                0.00336,                0.30952,                0.01392,                0.00354,                 3.7107,                 4.1578,                 4.0102,             0.00076018,             0.00076018,             0.00076018
                     29,                 3.3184,                 3.7472,                 3.7756,                0.00336,                0.30952,                0.01392,                0.00354,                 3.7107,                 4.1578,                 4.0102,             0.00077701,             0.00077701,             0.00077701
                     30,                 3.2889,                 3.6707,                 3.7687,                0.00314,                0.28571,                0.01203,                0.00406,                 3.7118,                  4.172,                 4.0024,              0.0007931,              0.0007931,              0.0007931
                     31,                 3.3234,                 3.5876,                 3.7863,                0.00332,                0.30952,                0.01769,                0.00408,                 3.8167,                  4.217,                 3.9573,             0.00080845,             0.00080845,             0.00080845
                     32,                 3.2374,                 3.5804,                 3.6889,                0.00331,                0.30952,                0.01414,                0.00371,                 3.7134,                 4.1702,                 4.0079,             0.00082306,             0.00082306,             0.00082306
                     33,                 3.2816,                 3.4759,                 3.7464,                0.00331,                0.30952,                0.01414,                0.00371,                 3.7134,                 4.1702,                 4.0079,             0.00083692,             0.00083692,             0.00083692
                     34,                 3.2618,                 3.4767,                 3.7409,                0.00353,                0.28571,                0.01103,                0.00355,                 3.6589,                 4.2361,                  4.133,             0.00084162,             0.00084162,             0.00084162
                     35,                 3.3466,                 3.5822,                 3.7019,                0.00362,                0.33333,                0.00566,                0.00202,                 3.6696,                 4.2518,                  4.073,             0.00082925,             0.00082925,             0.00082925
                     36,                 3.1483,                 3.3837,                 3.7069,                0.00278,                0.33333,                 0.0052,                 0.0016,                 3.6854,                 4.2912,                 4.0571,             0.00081688,             0.00081688,             0.00081688
                     37,                 3.2834,                 3.5507,                 3.6249,                0.00278,                0.33333,                 0.0052,                 0.0016,                 3.6854,                 4.2912,                 4.0571,              0.0008045,              0.0008045,              0.0008045
                     38,                 3.1086,                 3.5307,                 3.6637,                0.00268,                0.33333,                0.00572,                0.00162,                 3.7325,                 4.3234,                 4.1601,             0.00079213,             0.00079213,             0.00079213
                     39,                 3.1983,                 3.4382,                 3.5619,                0.00342,                0.30952,                0.00633,                0.00195,                 3.8365,                 4.3895,                 4.2141,             0.00077975,             0.00077975,             0.00077975
                     40,                 3.2652,                 3.3779,                 3.5842,                0.34597,                0.07143,                 0.0076,                0.00244,                  3.855,                 4.4005,                 4.2133,             0.00076738,             0.00076738,             0.00076738
                     41,                 3.0657,                 3.3041,                 3.4938,                0.34597,                0.07143,                 0.0076,                0.00244,                  3.855,                 4.4005,                 4.2133,               0.000755,               0.000755,               0.000755
                     42,                  3.231,                 3.3975,                 3.5489,                0.69587,                0.02381,                0.01051,                0.00307,                 3.8363,                 4.3566,                 4.1313,             0.00074263,             0.00074263,             0.00074263
                     43,                 3.0298,                 3.3497,                 3.5328,                0.71809,                0.02381,                0.01276,                0.00384,                 3.8059,                 4.3981,                 4.0308,             0.00073025,             0.00073025,             0.00073025
                     44,                 3.0568,                  3.435,                 3.5248,                0.70802,                0.02381,                0.01343,                0.00287,                 3.4091,                 4.3824,                 3.8463,             0.00071788,             0.00071788,             0.00071788
                     45,                 2.9865,                 3.3364,                 3.4799,                0.70802,                0.02381,                0.01343,                0.00287,                 3.4091,                 4.3824,                 3.8463,              0.0007055,              0.0007055,              0.0007055
                     46,                 2.9991,                 3.4605,                 3.4429,                 0.7194,                0.04762,                0.01603,                0.00337,                 3.4177,                 4.7217,                  3.738,             0.00069313,             0.00069313,             0.00069313
                     47,                 3.1134,                 3.3203,                 3.4684,                0.68549,                0.07143,                0.01417,                0.00326,                 3.4361,                 4.5004,                 3.5756,             0.00068075,             0.00068075,             0.00068075
                     48,                 3.1015,                 3.3651,                 3.4662,                0.48823,                0.14286,                0.02774,                0.00591,                 3.3651,                 4.3195,                 3.4771,             0.00066838,             0.00066838,             0.00066838
                     49,                 3.0591,                 3.2635,                 3.3917,                0.48823,                0.14286,                0.02774,                0.00591,                 3.3651,                 4.3195,                 3.4771,               0.000656,               0.000656,               0.000656
                     50,                 3.0447,                 3.3854,                 3.4198,                0.46317,                0.09524,                0.02679,                0.00591,                 3.2723,                 4.2374,                 3.4373,             0.00064362,             0.00064362,             0.00064362
                     51,                 3.0074,                 3.4295,                   3.42,                0.35081,                0.11905,                0.01939,                0.00522,                 3.2045,                  4.192,                  3.392,             0.00063125,             0.00063125,             0.00063125
                     52,                 2.9488,                 3.3047,                 3.4211,                0.36832,                 0.2619,                0.03499,                0.00906,                 3.1976,                 4.2306,                 3.3766,             0.00061887,             0.00061887,             0.00061887
                     53,                 3.1428,                 3.3353,                 3.3674,                0.36832,                 0.2619,                0.03499,                0.00906,                 3.1976,                 4.2306,                 3.3766,              0.0006065,              0.0006065,              0.0006065
                     54,                 2.9752,                 3.3401,                 3.4058,                0.38674,                0.16667,                0.04557,                0.01227,                 3.2025,                 4.3934,                 3.4089,             0.00059413,             0.00059413,             0.00059413
                     55,                  3.006,                 3.1095,                 3.2903,                0.37425,                0.14286,                0.04012,                0.01129,                 3.1289,                 4.4802,                 3.4518,             0.00058175,             0.00058175,             0.00058175
                     56,                 2.9561,                 3.1337,                 3.2905,                0.37383,                0.21429,                0.05503,                0.01539,                 3.0684,                 4.1616,                 3.4045,             0.00056938,             0.00056938,             0.00056938
                     57,                 3.0374,                  3.359,                 3.4011,                0.37383,                0.21429,                0.05503,                0.01539,                 3.0684,                 4.1616,                 3.4045,               0.000557,               0.000557,               0.000557
                     58,                 2.8498,                 3.2031,                 3.2763,                0.45085,                0.17502,                 0.0697,                0.01858,                 3.0369,                 3.8246,                 3.3951,             0.00054463,             0.00054463,             0.00054463
                     59,                 2.9338,                 3.2542,                 3.3327,                0.73879,                0.09524,                0.06883,                0.02497,                 3.0461,                 3.7754,                 3.4135,             0.00053225,             0.00053225,             0.00053225
                     60,                 3.0821,                 3.2539,                 3.3792,                 0.7303,                0.07143,                0.07231,                0.02497,                 3.0009,                 3.7406,                 3.3654,             0.00051988,             0.00051988,             0.00051988
                     61,                 3.0913,                 3.2267,                  3.338,                 0.7303,                0.07143,                0.07231,                0.02497,                 3.0009,                 3.7406,                 3.3654,              0.0005075,              0.0005075,              0.0005075
                     62,                 2.8929,                 3.2322,                 3.1982,                0.73026,                0.07143,                0.05148,                0.01841,                 2.9622,                 3.7793,                 3.3334,             0.00049513,             0.00049513,             0.00049513
                     63,                 2.8992,                 3.0567,                 3.2225,                0.36616,                0.07143,                0.03972,                0.01161,                 2.9444,                 3.8447,                 3.3075,             0.00048275,             0.00048275,             0.00048275
                     64,                 2.9284,                 3.1376,                  3.232,                 0.7855,                0.02381,                0.04246,                0.01234,                 2.9077,                 3.9114,                 3.2956,             0.00047038,             0.00047038,             0.00047038
                     65,                 2.9334,                 3.0921,                  3.219,                 0.7855,                0.02381,                0.04246,                0.01234,                 2.9077,                 3.9114,                 3.2956,               0.000458,               0.000458,               0.000458
                     66,                 2.7589,                 2.9757,                  3.164,                0.36767,                 0.0604,                0.06341,                0.01779,                 2.8621,                 3.9051,                 3.2554,             0.00044563,             0.00044563,             0.00044563
                     67,                 2.9507,                 3.0674,                  3.189,                0.70618,                0.04762,                0.06253,                0.02124,                 2.8045,                   3.88,                 3.2273,             0.00043325,             0.00043325,             0.00043325
                     68,                 2.8638,                 3.0444,                 3.1979,                0.71731,                0.04762,                0.08161,                 0.0271,                  2.769,                 3.8545,                 3.2013,             0.00042087,             0.00042087,             0.00042087
                     69,                   2.84,                 2.9864,                 3.1822,                0.71731,                0.04762,                0.08161,                 0.0271,                  2.769,                 3.8545,                 3.2013,              0.0004085,              0.0004085,              0.0004085
                     70,                 2.8667,                  2.877,                 3.1667,                0.74289,                0.07143,                0.11001,                0.03204,                 2.7673,                 3.8036,                 3.1743,             0.00039613,             0.00039613,             0.00039613
                     71,                 2.7718,                  3.051,                 3.2313,                0.73949,                0.07143,                0.07962,                0.02936,                 2.7544,                 3.7339,                 3.1641,             0.00038375,             0.00038375,             0.00038375
                     72,                 2.8077,                 3.0762,                  3.082,                0.74352,                0.07143,                0.08655,                0.03045,                 2.7502,                  3.697,                 3.1405,             0.00037138,             0.00037138,             0.00037138
                     73,                 2.7447,                 3.0507,                 3.1594,                0.74352,                0.07143,                0.08655,                0.03045,                 2.7502,                  3.697,                 3.1405,               0.000359,               0.000359,               0.000359
                     74,                  2.738,                 2.8836,                 3.0764,                0.71668,                0.14286,                0.10211,                0.03816,                 2.7626,                 3.6288,                 3.1144,             0.00034663,             0.00034663,             0.00034663
                     75,                 2.8257,                 3.0717,                 3.1607,                 0.7438,                0.21429,                0.13194,                0.04689,                 2.8004,                 3.5478,                 3.0989,             0.00033425,             0.00033425,             0.00033425
                     76,                 2.8152,                 3.0598,                 3.0787,                 0.7684,                0.19891,                0.13936,                 0.0479,                 2.8037,                  3.482,                 3.0803,             0.00032188,             0.00032188,             0.00032188
                     77,                 2.7805,                 3.1344,                 3.1393,                 0.7684,                0.19891,                0.13936,                 0.0479,                 2.8037,                  3.482,                 3.0803,              0.0003095,              0.0003095,              0.0003095
                     78,                 2.8131,                 2.9085,                 3.1404,                0.82639,                0.07143,                0.13029,                0.04711,                 2.8043,                 3.5043,                 3.0735,             0.00029713,             0.00029713,             0.00029713
                     79,                 2.8092,                 2.9104,                 3.0939,                0.41737,                0.16667,                 0.1152,                0.04024,                 2.8117,                 3.5165,                 3.0647,             0.00028475,             0.00028475,             0.00028475
                     80,                 2.6258,                 2.9338,                 3.0495,                0.42209,                0.16667,                0.11582,                0.04065,                 2.8084,                 3.4932,                  3.057,             0.00027237,             0.00027237,             0.00027237
