                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5786,                 2.5019,                 2.8247,                0.20031,                0.22242,                0.17408,                0.06245,                 2.5583,                  3.155,                 3.0274,             0.00096215,             0.00096215,             0.00096215
                     35,                 2.5747,                  2.536,                 2.8176,                0.33668,                0.24156,                0.24065,                0.08345,                 2.6304,                   3.19,                 2.9358,               0.000948,               0.000948,               0.000948
                     36,                 2.5371,                 2.5396,                 2.7604,                0.42409,                0.23305,                 0.2194,                0.08056,                 2.5498,                 2.7964,                 2.8442,             0.00093385,             0.00093385,             0.00093385
                     37,                 2.5369,                 2.4782,                 2.7638,                 0.3917,                0.22259,                0.24969,                 0.0858,                  2.565,                 2.7781,                 2.8024,              0.0009197,              0.0009197,              0.0009197
                     38,                 2.5027,                  2.468,                 2.7488,                 0.3529,                0.26276,                0.27002,                0.09786,                  2.487,                 2.9798,                 2.7558,             0.00090556,             0.00090556,             0.00090556
                     39,                 2.4599,                 2.4315,                  2.725,                0.49302,                0.27985,                0.29979,                0.11475,                 2.4621,                 2.9557,                 2.7461,             0.00089141,             0.00089141,             0.00089141
                     40,                 2.4647,                 2.3808,                 2.7022,                0.53702,                0.25894,                0.29329,                0.11731,                 2.4186,                 3.2789,                  2.706,             0.00087726,             0.00087726,             0.00087726
                     41,                 2.4239,                 2.3861,                 2.7155,                0.25042,                0.36426,                0.25335,                0.10449,                 2.3975,                 3.3426,                 2.6932,             0.00086312,             0.00086312,             0.00086312
                     42,                 2.4175,                 2.4259,                 2.6929,                0.27442,                0.38204,                0.21133,                0.07802,                 2.4607,                 2.6643,                 2.7288,             0.00084897,             0.00084897,             0.00084897
                     43,                 2.3877,                 2.3126,                   2.63,                0.32658,                0.32292,                0.24847,                0.08764,                 2.4728,                 2.5205,                 2.7269,             0.00083482,             0.00083482,             0.00083482
                     44,                 2.4208,                 2.3267,                 2.6595,                0.33256,                0.30303,                0.24995,                 0.0992,                 2.4521,                 2.8566,                 2.7008,             0.00082067,             0.00082067,             0.00082067
